name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 6ce636d927),lean,0.0.1-e59842e,,899232,9,5.16s,348.16ms,1.41ms,348.60ms,2.10ms,346.67ms,352.68ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,899232,10965,4.56s,261.97us,1.15us,273.48us,43.90us,250.49us,3.43ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,899232,40204,4.56s,71.55us,150.00ns,74.51us,12.62us,68.58us,1.04ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,899232,5580,4.56s,518.68us,5.09us,534.82us,53.19us,495.19us,1.77ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,899232,8913,4.56s,314.53us,581.00ns,336.47us,58.97us,308.00us,2.00ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,899232,58912,4.56s,48.80us,120.00ns,50.81us,8.53us,47.81us,665.43us
curated/01-literal/sherlock-en,count,0.1.0 (rev 6ce636d927),rust/regex/lite,0.1.5,,899232,88,4.56s,33.42ms,286.25us,34.23ms,1.82ms,32.77ms,42.01ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,899232,58659,4.57s,49.24us,120.00ns,51.03us,7.98us,48.07us,360.36us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,899232,1446,4.51s,2.01ms,21.70us,2.08ms,166.35us,1.94ms,3.06ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,899232,28505,4.56s,99.61us,300.00ns,105.11us,18.78us,97.35us,723.36us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,899232,548,4.56s,5.27ms,98.00us,5.47ms,786.09us,5.09ms,16.93ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,899232,2210,4.51s,1.29ms,22.78us,1.36ms,170.57us,1.25ms,2.76ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,899232,13017,4.56s,221.09us,191.00ns,230.36us,28.51us,216.41us,821.83us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),rust/regex/lite,0.1.5,,899232,76,4.56s,38.79ms,315.66us,39.64ms,2.35ms,38.16ms,54.82ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,899232,10664,4.56s,271.82us,280.00ns,281.20us,27.19us,267.43us,803.12us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 6ce636d927),lean,0.0.1-e59842e,,1570556,9,5.16s,354.20ms,4.04ms,356.19ms,6.31ms,348.41ms,369.44ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,1570556,3,5.41s,1.08s,10.22ms,1.08s,10.85ms,1.07s,1.10s
curated/01-literal/sherlock-ru,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,1570556,31327,4.56s,90.06us,250.00ns,95.64us,19.14us,88.15us,1.03ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,1570556,3911,4.56s,743.29us,5.87us,764.30us,50.38us,717.12us,1.29ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,1570556,5194,4.56s,550.38us,6.02us,577.47us,81.52us,536.78us,1.66ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,1570556,35599,4.56s,81.54us,181.00ns,84.16us,10.26us,79.04us,575.00us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 6ce636d927),rust/regex/lite,0.1.5,,1570556,73,4.61s,39.14ms,2.55ms,41.32ms,6.74ms,35.37ms,68.59ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,1570556,32021,4.56s,82.74us,1.37us,93.54us,95.02us,80.77us,9.57ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,1570556,3,5.71s,1.17s,5.65ms,1.15s,23.88ms,1.12s,1.17s
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,1570556,18284,4.56s,157.39us,1.17us,163.96us,19.11us,153.43us,568.95us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,1570556,86,4.61s,34.18ms,415.37us,35.22ms,2.21ms,33.36ms,43.12ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,1570556,292,4.56s,9.90ms,122.18us,10.30ms,1.12ms,9.68ms,18.27ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,1570556,6545,4.56s,444.65us,1.67us,458.32us,34.30us,432.12us,921.75us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,1570556,5624,4.56s,514.11us,1.06us,533.35us,57.67us,505.36us,1.32ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 6ce636d927),lean,0.0.1-e59842e,,813478,22,4.81s,136.25ms,632.68us,138.48ms,6.98ms,135.21ms,169.74ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,813478,137,4.56s,21.74ms,235.11us,22.00ms,900.78us,21.22ms,29.46ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,813478,88583,4.62s,31.85us,121.00ns,33.76us,7.48us,30.44us,659.52us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,813478,16191,4.56s,176.36us,512.00ns,182.93us,22.17us,172.98us,806.36us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,813478,9520,4.56s,272.59us,391.00ns,314.99us,124.06us,268.46us,5.66ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,813478,86066,4.62s,32.96us,71.00ns,34.74us,7.37us,32.34us,349.17us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 6ce636d927),rust/regex/lite,0.1.5,,813478,202,4.56s,13.69ms,424.60us,14.86ms,3.66ms,13.16ms,42.23ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,813478,85419,4.62s,33.14us,91.00ns,35.00us,11.83us,32.37us,1.71ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 6ce636d927),lean,0.0.1-e59842e,,899232,4,5.81s,931.24ms,6.06ms,935.10ms,11.58ms,924.48ms,0.95s
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,899232,1359,4.51s,1.98ms,56.45us,2.21ms,488.27us,1.91ms,7.20ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,899232,3815,4.51s,761.19us,12.08us,786.31us,82.08us,738.26us,1.85ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,899232,1907,4.56s,1.51ms,29.35us,1.57ms,189.31us,1.46ms,5.47ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,899232,2113,4.51s,1.37ms,21.51us,1.42ms,190.52us,1.30ms,6.38ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,899232,14190,4.56s,202.91us,400.00ns,211.29us,28.29us,197.26us,555.61us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 6ce636d927),rust/regex/lite,0.1.5,,899232,43,4.61s,69.07ms,364.56us,70.56ms,3.24ms,68.14ms,81.13ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,899232,17126,4.56s,166.26us,351.00ns,175.05us,23.67us,163.41us,589.05us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,899232,268,4.51s,11.03ms,92.25us,11.21ms,618.67us,10.75ms,14.20ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,899232,1578,4.51s,1.85ms,31.10us,1.90ms,205.76us,1.82ms,5.04ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,899232,195,4.56s,15.32ms,131.17us,15.40ms,562.07us,14.25ms,20.98ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,899232,437,4.56s,6.76ms,110.98us,6.87ms,427.62us,6.56ms,12.33ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,899232,4830,4.51s,598.30us,4.91us,620.99us,52.96us,582.39us,1.24ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),rust/regex/lite,0.1.5,,899232,33,4.56s,89.19ms,1.42ms,91.00ms,4.77ms,87.52ms,108.88ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,899232,4564,4.51s,629.69us,5.22us,657.23us,76.64us,612.93us,1.98ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 6ce636d927),lean,0.0.1-e59842e,,1570556,4,6.11s,0.97s,4.89ms,0.98s,27.17ms,0.96s,1.03s
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,1570556,3,6.46s,1.29s,10.92ms,1.29s,10.25ms,1.28s,1.31s
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,1570556,1720,4.56s,1.72ms,19.35us,1.74ms,93.94us,1.67ms,3.37ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,1570556,121,4.56s,24.53ms,257.37us,24.84ms,833.71us,23.80ms,28.50ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,1570556,103,4.56s,28.89ms,354.10us,29.32ms,1.26ms,28.15ms,38.71ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,1570556,5898,4.56s,493.91us,1.51us,508.52us,36.15us,482.98us,1.05ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 6ce636d927),rust/regex/lite,0.1.5,,1570556,40,4.61s,74.33ms,1.22ms,75.38ms,2.51ms,72.61ms,81.89ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,1570556,3457,4.56s,852.04us,10.14us,867.84us,46.44us,810.02us,1.49ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,1570556,3,7.22s,1.43s,4.62ms,1.45s,38.03ms,1.42s,1.51s
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,1570556,333,4.56s,8.85ms,103.19us,9.02ms,821.42us,8.65ms,21.31ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,1570556,65,4.56s,45.15ms,910.84us,46.32ms,2.82ms,43.82ms,55.07ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,1570556,66,4.56s,45.04ms,386.84us,45.54ms,1.77ms,44.28ms,55.32ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,1570556,1800,4.51s,1.59ms,26.19us,1.67ms,201.55us,1.53ms,3.94ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,1570556,534,4.56s,5.51ms,58.91us,5.62ms,410.75us,5.36ms,9.40ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 6ce636d927),lean,0.0.1-e59842e,,813478,9,5.16s,350.64ms,6.74ms,356.38ms,13.90ms,343.83ms,384.45ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 6ce636d927),pcre2,10.42 2022-12-11,,813478,21,4.76s,146.21ms,1.09ms,147.08ms,3.81ms,144.16ms,161.96ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 6ce636d927),pcre2/jit,10.42 2022-12-11,,813478,7596,4.56s,383.36us,556.00ns,394.84us,31.87us,374.98us,1.10ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 6ce636d927),perl,5.34.0,,813478,461,4.56s,6.43ms,86.98us,6.51ms,316.19us,6.27ms,10.10ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 6ce636d927),regress,0.7.1,,813478,508,4.56s,5.83ms,39.97us,5.91ms,444.81us,5.66ms,11.88ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 6ce636d927),rust/regex,1.10.2,,813478,17679,4.56s,165.69us,111.00ns,169.58us,15.14us,161.07us,447.38us
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 6ce636d927),rust/regex/lite,0.1.5,,813478,108,4.56s,27.48ms,278.87us,27.80ms,1.30ms,26.72ms,34.06ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 6ce636d927),rust/regexold,1.7.3,,813478,22211,4.56s,128.86us,150.00ns,134.95us,21.30us,126.78us,875.96us
